Unnamed: 0,ENTIDAD,Unnamed: 2,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
,AGUASCALIENTES,,21.7,25.3,26.2,29.1,32.6,29.5,28,26.5,26.8,26.7,23.4,24.3,26.7
,BAJA CALIFORNIA,,19.9,26.6,25.3,26.6,26.7,34.9,36.2,35.5,32.8,31.9,26.7,20.6,28.6
,BAJA CALIFORNIA SUR,,25.5,28.8,28.4,29.4,29.9,34.4,36.3,35.1,34.2,34.5,30,25.2,31
,CAMPECHE,,29.5,30,34.6,36.9,38.4,35.4,35.4,34.7,34.4,33,31.8,32.4,33.9
,COAHUILA,,20.5,25.4,28,30.1,32.2,34.5,36.8,33.5,32.2,30.1,24.8,22.3,29.2
,COLIMA,,31.9,33.4,32.4,34,34.5,34.5,34.5,34.1,33.7,34.8,33.6,33.1,33.7
,CHIAPAS,,29.4,29.7,33.5,35,34.8,31.6,32.1,31.6,31,30.8,29.7,30,31.6
,CHIHUAHUA,,18.3,24.4,26.8,28.8,31.6,34.3,33.8,30.1,30.2,29.1,23.6,21,27.7
,DISTRITO FEDERAL,,20.7,23.5,24.1,27.2,27.8,24.4,24.5,24.8,24.1,23.5,21.3,23.3,24.1
,DURANGO,,20.6,25.3,26.9,29.5,31.8,32,31.4,28.5,28.6,28.2,24.6,24,27.6
,GUANAJUATO,,23.1,25.9,27.1,30.6,32.9,29.4,27.9,27.2,27.5,27.1,24.3,25.5,27.4
,GUERRERO,,30.9,32.9,32.2,34.6,35.3,32.9,32.3,32.1,31.5,32.2,31.6,31.9,32.5
,HIDALGO,,21.9,24,27.2,29.6,30.6,27.1,27.6,27.2,26.6,24.9,22.5,24.4,26.1
,JALISCO,,26.1,28.6,29,32,34.5,31.8,29.7,29.2,29.7,30.1,27.5,27.5,29.6
,ESTADO DE MÉXICO,,19.8,22.1,22.7,25.5,26,22.2,22.2,22.5,22,21.8,19.9,21.7,22.4
,MICHOACÁN,,25.8,28.7,27.7,31.1,33.2,30.2,28.7,28.7,28.7,29,27,27.6,28.9
,MORELOS,,25.6,29.6,30.6,33.8,33.9,29.5,29,28.3,27.7,28.7,27.8,29.3,29.5
,NAYARIT,,27.7,32,30.9,33.6,36.1,35,34.1,33.5,33.3,34.5,32.9,30.4,32.8
,NUEVO LEÓN,,22.5,26.5,29.6,31.2,32.6,33.8,37.1,35,33.3,30.5,26.1,23.4,30.1
,OAXACA,,28.3,28.9,32,34.3,35.1,32,32.2,31.4,30.5,30.2,29.7,29.4,31.2
,PUEBLA,,21.8,24.2,26,28.5,29.3,26.3,26.5,26.2,25.6,25.1,23.9,24.6,25.7
,QUERÉTARO,,22.3,25.4,26.9,31.2,32.8,28.7,28.1,27.6,27.1,27,23.8,24,27.1
,QUINTANA ROO,,29.7,29.3,31.7,33,34.2,32.4,34,34.6,34.7,33.6,31.8,31.9,32.6
,SAN LUIS POTOSÍ,,23.8,26.4,30.6,32.2,34.2,32.3,32.8,32,31,29.9,26,26.6,29.8
,SINALOA,,28.7,32,31.7,34,35.7,37,36.4,35,35.1,36.9,34.4,30.3,33.9
,SONORA,,22.9,29.7,29.9,31.3,33.9,38.9,38.1,36,34.9,35.4,29,23.7,32
,TABASCO,,27.7,28,32.4,34.2,35.7,33.8,34.1,33.3,32.5,31.7,29.6,30.1,31.9
,TAMAULIPAS,,24,26.8,30,31.7,33.3,33.9,35.8,35.4,34.3,32.5,28.4,26.6,31.1
,TLAXCALA,,19.7,23.9,23,26.3,27.2,23.3,23.8,23.9,23.6,23.1,21.7,22.7,23.5
,VERACRUZ,,23.5,24.8,29.3,31.3,33,31.3,31.1,30.7,30.1,28.8,26.8,26.6,28.9
,YUCATÁN,,29,29.4,33.4,35.7,37.1,35,35.4,34.2,34.2,32.9,31.6,31.7,33.3
,ZACATECAS,,20.2,24.8,25.2,28.3,31.3,29,27.6,25.9,26,26,22.8,23.8,25.9
,NACIONAL,,23.7,27.3,29.1,31.2,33,33.3,33.4,31.9,31.3,30.8,27.2,25.6,29.8
