ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,5.7,6,7.5,11.8,11.8,14.3,13,12.6,12.7,10.7,8.9,5.1,10
BAJA CALIFORNIA,9.7,10.5,12.8,13.5,13.9,18,19.5,21.2,20.7,17.5,9.3,4.9,14.3
BAJA CALIFORNIA SUR,12.4,12.8,14.4,16.4,16.5,21.3,23.9,25.5,24.6,21.5,16.6,11.4,18.1
CAMPECHE,17.6,17.6,20.7,23.1,23.3,23.3,23.1,23.3,23.2,23.2,22.8,21.4,21.9
COAHUILA,5.1,6.3,9.5,15.8,17.1,18.9,19.9,20.2,18.4,16.3,11.3,5.6,13.7
COLIMA,18.1,17.1,17.6,20.3,21.1,23,22.4,22.8,22.5,22.8,22.4,19.8,20.8
CHIAPAS,16,15.6,18.2,19.8,20.5,20.7,20.1,20.3,20.6,20.3,20,18,19.2
CHIHUAHUA,2.5,5,7,11.1,11.7,17.2,17.8,17.7,16.2,12.3,6,2,10.5
DISTRITO FEDERAL,8.2,9.2,10.7,12.4,12.9,13.7,13.1,13.3,13.3,12.4,11.8,9.7,11.7
DURANGO,4.1,4.5,6.1,9.3,11.7,14.9,15.2,14.6,13.9,11.1,7.8,2.4,9.6
GUANAJUATO,6.8,7.2,9.2,13.2,13.2,14.2,13.5,13.2,13.8,12.6,10.7,7.7,11.3
GUERRERO,16.8,17.5,18.8,19.9,21.4,22,20.9,21.6,20.9,20.6,20.5,18.3,19.9
HIDALGO,5.2,6,9.1,13.3,13.2,13.6,13.3,13.1,12.5,12.1,11.7,8.3,11
JALISCO,9.8,10,11.5,14.1,15.6,17.4,16.5,16.3,16.3,14.8,13.4,10.8,13.9
ESTADO DE MÉXICO,3.7,4.2,6.4,10.3,8.9,10.1,9.3,9.4,9.9,8.2,7.2,5.5,7.8
MICHOACÁN,11.4,11.5,12.2,16.7,15.5,16.8,15.9,15.3,15.6,14.4,13,10.4,14.1
MORELOS,11.6,12.2,14.5,17.5,17.3,17,16.4,16.3,17.3,16.2,15.6,13,15.4
NAYARIT,17.1,17.1,16.1,19.8,20.1,24.2,23.1,23.5,23.3,23.2,20.3,16.1,20.3
NUEVO LEÓN,6.2,8,11.4,18.7,19.5,20.7,21.1,21.1,20.1,17.4,13.4,9.2,15.6
OAXACA,14.4,14.5,16.8,21.4,20.8,20.5,20.1,20.6,20.7,19.6,19.4,16.3,18.8
PUEBLA,6.1,6.7,9.5,12.2,12.6,12.8,12.3,12.9,13.4,12,11.4,8.9,10.9
QUERÉTARO,7.6,8.9,10.9,15,15.3,15.5,15,14.7,15.4,13.7,12.7,9.3,12.8
QUINTANA ROO,18.7,18.1,22.1,24.3,24.2,24.3,24.6,24.5,24.1,22.8,22.6,22.1,22.7
SAN LUIS POTOSÍ,7.5,8.2,12.9,18.9,17.8,17.8,17.7,17.5,19,17.8,16.2,13.1,15.4
SINALOA,13.1,14.5,14.8,16.8,17.9,24.2,24.4,24.1,24.5,21.8,16.3,12.2,18.7
SONORA,8.1,10.8,12.1,13.2,14.6,21.9,23.8,24.2,22.8,17.5,9.1,5.9,15.3
TABASCO,18.8,18.5,21.1,24,23.9,23.6,23.7,23.9,23.9,23.5,23.4,22.2,22.5
TAMAULIPAS,9,11.3,14.8,20.5,22.4,23,23.4,23.5,22.7,20.7,17.4,13.5,18.5
TLAXCALA,3.4,4.3,6.8,8,9.5,9.9,9.4,9.3,10.3,8.6,8,5.1,7.7
VERACRUZ,11.8,13.3,15.3,19.4,20,19.6,20,19.9,20.2,19,17.6,16.4,17.7
YUCATÁN,17.5,16.3,20.1,22.4,22.5,23.1,22.4,22.8,22.9,22.3,21.9,21.1,21.3
ZACATECAS,4.8,5,6.8,10.1,11.7,14,12.9,12.7,12.5,10.6,8.7,4.1,9.5
NACIONAL,9.2,10.2,12.4,15.8,16.6,19.2,19.5,19.7,19.1,16.8,13.3,9.8,15.1
