ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,1UL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,3.7,4.2,8.6,8.1,11.3,15.4,13.6,14.7,13.9,10,6,4.4,9.5
BAJA CALIFORNIA,8.5,9.2,12,12.8,15.6,18.8,23,22.3,18.9,15.3,12.4,8.7,14.8
BAJA CALIFORNIA SUR,11.1,11.7,14,15.2,16.5,19.9,23.9,25.4,23.1,21.5,17.3,14.8,17.9
CAMPECHE,19.2,19.8,20.6,22.7,24.2,24.1,23.4,23.9,24,22.4,19.5,18.7,21.9
COAHUILA,8.4,9.7,13,15.3,18.4,21.1,21.9,21.7,19.7,14.6,10.9,6.9,15.1
COLIMA,17.7,17.2,19,17.2,19.6,23.5,23.2,23.5,22.8,22.7,21.8,19.1,20.6
CHIAPAS,16.2,17.6,18.4,19.2,21.4,21.1,20.6,20.6,20.9,20.1,17.8,16.6,19.2
CHIHUAHUA,2.7,4.1,7.7,10.4,12.3,17.8,17.8,17.1,15.3,12,6.6,3.4,10.6
DISTRITO FEDERAL,7.7,9.4,10.1,12.2,14.5,14.2,13.1,14.1,13.6,12,8.8,6.8,11.4
DURANGO,3.4,4.1,7.4,9.8,12.6,15.7,15.6,15.5,14.1,11.5,6.1,3.8,10
GUANAJUATO,5.5,7.3,9.5,10.6,14.2,15.1,14,14.2,13.8,11.3,7.2,5.5,10.7
GUERRERO,16.3,16.4,18.1,18.4,20.2,20.2,19.5,19.9,19.3,18.6,17,14.7,18.2
HIDALGO,6.5,7.8,10,10.4,14.7,14.6,14.2,14.4,14,11.8,7.6,5.4,11
JALISCO,7.6,7.8,11.2,11.9,15,17.6,16.8,17.1,16.5,14.3,10.3,8.9,12.9
ESTADO DE MÉXICO,2,2.9,5.2,6.5,9.6,10.1,9.5,10.1,9.7,7.7,3.3,2.8,6.6
MICHOACAN,7.6,8.3,10.9,11.3,14.7,16.3,15.3,15.7,15.1,13.3,9.6,7.5,12.1
MORELOS,10.6,12.2,14.8,16.1,17.8,17.2,16.4,16.9,17,15,12.1,9.9,14.7
NAYARIT,14.1,13.6,14.8,15.8,18.6,22.5,22.9,23.5,22.9,22.1,19.4,15.9,18.8
NUEVO LEÓN,8.9,11.4,14.8,15.7,18.9,20.7,21,21.4,19.6,14.7,12.1,7.8,15.6
OAXACA,15.1,15.5,16.9,18,20,20.5,20,19.8,19.8,19.2,16.5,14.6,18
PUEBLA,6.9,8.1,9.8,11.3,13.6,13.6,12.8,13.2,13.1,11.5,8.1,5.8,10.7
QUERÉTARO,7.4,9.2,11,12.8,16.5,16.2,15.3,15.4,14.6,12.9,8.9,6.9,12.3
QUINTANA ROO,19.8,21,20.5,23.1,24.5,25,24.6,25.2,24.6,22.8,20,19.2,22.5
SAN LUIS POTOSÍ,11.6,13.3,15.2,17.2,20.1,20.5,19.9,20.9,19.4,16.6,14.1,10.2,16.6
SINALOA,11.1,11.5,13.8,15.1,18.2,22.8,24.4,24.5,23.4,22,16.9,14.2,18.2
SONORA,5.9,8.5,10.7,12.2,14.6,20.8,23,22.9,20.1,17,12.1,8.1,14.7
TABASCO,19.1,20.2,21.2,22.9,24.2,23.9,23.8,23.7,24,22.7,20.9,19.6,22.2
TAMAULIPAS,13.6,15.9,18.1,19.5,22.1,23.7,23.6,24.4,22.7,18.5,16.5,11.7,19.2
TLAXCALA,2.4,3.4,5.3,6.8,10.4,10.5,10.1,10.5,11.5,8.4,3.4,2.7,7.1
VERACRUZ,14.4,15.4,16.5,18.3,20,20.4,19.5,20,19.6,17.9,15.5,13.3,17.6
YUCATÁN,17.4,18.3,18.6,21.4,22.9,23.3,22.7,23.1,23.1,21.5,18.1,17.5,20.7
ZACATECAS,3.7,3.7,7.1,7.9,11.4,14.2,13.8,14.1,12.9,9.8,5.3,4,9
NACIONAL,9.3,10.5,12.8,14.4,16.9,19.5,19.8,19.9,18.6,16,12.3,9.6,15
